54;'WkQJFoOhaGI';'TZ outlet 1 test 1';10;3
55;'G4pCXZaXg24';'TZ outlet 1 test 2';10;3
56;'SnqysKk0vV2';'TZ outlet 2 test 1';11;3
57;'jOSzOQTqekM';'TZ outlet 2 test 2';11;3
58;'NcMjGIpLaLZ';'511KJ Gongo la Mboto (100019-9)';12;3
59;'guQhNsJQm5J';'Afya Head Quarters (100040-5)';12;3
60;'lenUQjOCZnT';'Airport Police (100069-4)';12;3
61;'xH0htnjSnrT';'Airport Tanzania (110667-3)';12;3
62;'qBX69jc1ZZB';'Airwing 603 ATS (100070-2)';12;3
63;'L4BBbhbFOyG';'Amana (100097-5)';12;3
64;'fJGXcmEBsub';'Bank Of Tanzania HQ (100210-4)';12;3
65;'lnHuSMowxZe';'Bonyokwa (100413-4)';12;3
66;'ix9Xc7i1yhq';'Buguruni (100463-9)';12;3
67;'tb4FXc2knK0';'Buyuni (100633-7)';12;3
68;'sdfAXvbwreT';'Chanika (100738-4)';12;3
69;'bXoOAIvdcmr';'D.I.T (100940-6)';12;3
70;'ZmCOWBsCber';'FFU Ukonga (101143-6)';12;3
71;'xe5Xss2ofvW';'Gerezani (101201-2)';12;3
72;'ArMD8xOmqgP';'Gongo la mboto (108487-0)';12;3
73;'fSQ9uPF2l69';'Guluka kwa lala (101264-0)';12;3
74;'uhvCU3cT3oy';'Ikulu (101681-5)';12;3
75;'P6Z7751I0M2';'Infectious Disease Center (101808-4)';12;3
76;'veXzLW8rCu4';'Kinyerezi (102978-4)';12;3
77;'Pl6vjyWNN8n';'Kitunda (103198-8)';12;3
78;'sk5eBtbl9C0';'Kivule (103216-8)';12;3
79;'uiqepjUfddf';'Kiwalani (103220-0)';12;3
80;'uAJ3GjlNDEv';'Lubakaya (103606-0)';12;3
81;'f0QXFpR8TfS';'Majohe (104067-4)';12;3
82;'hJZHS0ErruJ';'Makao Makuu ya Jeshi (MM Jeshi) (106409-6)';12;3
83;'FhlGjUC1R5H';'Mnazi Mmoja (105242-2)';12;3
84;'dI7tzQsrSlG';'Mongo la Ndege (105291-9)';12;3
85;'ydHBQCQl1fh';'Msongola (105495-6)';12;3
86;'g6W6DlS1rpL';'Muhimbili (105651-4)';12;3
87;'VFsBsvZBSyu';'Muhimbili Orthopaedic Institute (105267-9)';12;3
88;'FzYeStiV2lO';'Mvuleni (110562-6)';12;3
89;'nrirnCecN3j';'Mvuti (105778-5)';12;3
90;'WV6F7ZPCmim';'Ocean Road Cancer Institute (106880-8)';12;3
91;'ll9zWWhPbVL';'Pugu Kajiungeni (107039-0)';12;3
92;'pokHpPfvOE9';'Segerea (107347-7)';12;3
93;'kpm2scAp6KN';'Segerea Magereza (110568-3)';12;3
94;'JkMOWs5cfZw';'Tabata A (107696-7)';12;3
95;'qlAjHRkxysb';'Tabata Kisiwani (110550-1)';12;3
96;'ODXfNkBnGm5';'Tabata NBC (107699-1)';12;3
97;'GB7x9BZaPAQ';'Tanzania Breweries (107762-7)';12;3
98;'yppHPgKLNAh';'Tanzania Railways Corporation (TRC) (107880-7)';12;3
99;'g98YE0LFv5G';'Tazara Karakana (107792-4)';12;3
100;'YacZ3rxRJHS';'Traffic Police (107878-1)';12;3
101;'f4CuT0vRZOL';'TTCL (107892-2)';12;3
102;'MeIYlCTqPC6';'Ukonga chuo cha maafisa Magereza (110586-5)';12;3
103;'HDgVLem1LjF';'Ukonga Magereza (103950-2)';12;3
104;'lHijI5G2lrC';'Vingunguti (108265-0)';12;3
105;'xRtu6V5dPWP';'Yombo Ufundi (108390-6)';12;3
106;'QktFvjZHtco';'Yongwe (110575-8)';12;3
107;'XtpUniQBVfN';'Zingiziwa (108418-5)';12;3
108;'Gi18WXSZ5bf';'361 KJ (110625-1)';13;3
109;'iFCQXDcDfLa';'Ardhi University (108661-0)';13;3
110;'Xx8ouQML0Gu';'Baraka Mbezi (110772-1)';13;3
111;'AZ4PyUu5kYy';'Boko (100390-4)';13;3
